Approved symbol	Alias symbol	Previous symbol
AFF4	MCEF	
AFG3L2	SPAX5	SCA28
AFM	ALB2	
AFM	ALBA	
AFMID	DKFZp686F03259	
AFMID	KF	
AFP	FETA	HPAFP
AFTPH	MGC33965	
AFTPH	FLJ20080	
AFTPH	FLJ23793	
AFTPH	Nbla10388	
AGA	ASRG	
AGAP1	KIAA1099	CENTG2
AGAP1	GGAP1	CENTG2
AGAP2-AS1	LOC100130776	
AGAP4	Em:AC012044.1	CTGLF1
AGAP4	Em:AC012044.1	AGAP8
AGAP4	Em:AC012044.1	CTGLF5
AGAP4	MRIP2	CTGLF1
AGAP4	MRIP2	AGAP8
AGAP4	MRIP2	CTGLF5
AGAP5	Em:AC073389.1	CTGLF2
AGAP6	bA324H6.1	CTGLF3
AGAP7P	bA109G10.1	CTGLF4
AGAP7P	bA109G10.1	AGAP7
AGAP9	bA301J7.2	CTGLF6
AGAP9	FLJ00312	CTGLF6
AGAP10P	bA358L16.1	AGAP10
AGAP10P	bA358L16.1	CTGLF7
AGAP10P	bA358L16.1	CTGLF10P
AGAP10P	bA144G6.2	AGAP10
AGAP10P	bA144G6.2	CTGLF7
AGAP10P	bA144G6.2	CTGLF10P
AGAP11	KIAA1975	
AGAP12P	bA164N7.2	CTGLF12P
AGAP13P	bA548K23.1	CTGLF9P
AGAP14P	bA145E20.1	CTGLF11P
AGBL1	FLJ32310	
AGBL1	CCP4	
AGBL2	FLJ23598	
AGBL2	CCP2	
AGBL3	MGC32955	
AGBL3	CCP3	
AGBL4	FLJ14442	
AGBL4	CCP6	
AGBL5	FLJ21839	
AGBL5	CCP5	
AGER	RAGE	
AGFG1	RIP	HRB
AGFG1	RAB	HRB
AGFG2	RABR	HRBL
AGGF1	VG5Q	
AGGF1	HSU84971	
AGGF1	FLJ10283	
AGGF1	GPATC7	
AGGF1	GPATCH7	
AGK	FLJ10842	MULK
AGKP1	AGKY1	
AGMAT	FLJ23384	
AGMO	FLJ16237	TMEM195
AGO1	hAGO1	EIF2C1
AGO2	hAGO2	EIF2C2
AGO2	Q10	EIF2C2
AGO3	hAGO3	EIF2C3
